"variable","label"
"SEQN","Respondent sequence number"
"RIDAGEYR","Age in years at screening"
"RIDEXPRG","Pregnancy status at exam"
"DMDEDUC2","Education level - Adults 20+"
"RIAGENDR","Gender"
"INDFMPIR","Ratio of family income to poverty"
"WTMEC2YR","Full sample 2 year MEC exam weight"
"SDMVPSU","Masked variance pseudo-PSU"
"SDMVSTRA","Masked variance pseudo-stratum"
"RHQ031","Had regular periods in past 12 months"
"RHQ074","Tried for a year to become pregnant?"
"RHQ076","Seen a DR b/c unable to become pregnant?"
"RHQ131","Ever been pregnant?"
"RHQ160","How many times have been pregnant?"
"RHQ171","How many deliveries live birth result?"
"RHD280","Had a hysterectomy?"
"RHQ078","Ever treated for a pelvic infection/PID?"
"RHD180","Age at first live birth"
"LBXTST","Testosterone, total (ng/dL)"
"LBDTSTLC","Testosterone comment code"
"LBXEST","Estradiol (pg/mL)"
"LBDESTLC","Estradiol Comment Code"
"LBXSHBG","SHBG (nmol/L)"
"LBDSHGLC","SHBG Comment Code"
"WTSSBH2Y","Surplus specimen B 13-14 2 year weights"
"URXUCR","Creatinine, urine (mg/dL)"
"SSURMHBP","Mono-3-hydroxy-n-butyl phthalate (ng/mL)"
"SDUMHBPL","Mono-3-hydroxy-n-butyl phthalate cmt"
"SSURHIBP","Mono-2-hydroxy-iso-butyl phthlte (ng/mL)"
"SDUHIBPL","Mono-2-hydroxy-iso-butyl phthlte cmt"
"WTSB2YR","Subsample B weights"
"URXBP3","Urinary Benzophenone-3 (ng/mL)"
"URDBP3LC","Urinary Benzophenone-3 comment"
"URXBPH","Urinary Bisphenol A (ng/mL)"
"URDBPHLC","Urinary Bisphenol A comment"
"URXBPF","Urinary Bisphenol F (ug/L)"
"URDBPFLC","Urinary Bisphenol F comment"
"URXBPS","Urinary Bisphenol S (ug/L)"
"URDBPSLC","Urinary Bisphenol S comment"
"URXTLC","Urinary Triclocarban (ng/mL)"
"URDTLCLC","Urinary Triclocarban comment"
"URXTRS","Urinary Triclosan (ng/mL)"
"URDTRSLC","Urinary Triclosan comment"
"URXBUP","Butyl paraben (ng/ml)"
"URDBUPLC","Butyl paraben comment"
"URXEPB","Ethyl paraben (ng/ml)"
"URDEPBLC","Ethyl paraben comment"
"URXMPB","Methyl paraben (ng/ml)"
"URDMPBLC","Methyl paraben comment"
"URXPPB","Propyl paraben (ng/ml)"
"URDPPBLC","Propyl paraben comment"
"URX14D","2,5-dichlorophenol (ug/L)"
"URD14DLC","2,5-dichlorophenol comment"
"URXDCB","2,4-dichlorophenol (ug/L)"
"URDDCBLC","2,4-dichlorophenol comment"
"ALQ120Q","How often drink alcohol over past 12 mos"
"SMQ040","Do you now smoke cigarettes"
"SMD650","Avg # cigarettes/day during past 30 days"
"BMXBMI","Body Mass Index (kg/m**2)"
"URXUCR","Creatinine, urine (mg/dL)"
"URXCNP","Mono(carboxynonyl) Phthalate (ng/mL)"
"URDCNPLC","Mono(carboxynonyl) Phthalate cmt code"
"URXCOP","Mono(carboxyoctyl) Phthalate (ng/mL)"
"URDCOPLC","Mono(carboxyoctyl) phthalate cmt code"
"URXECP","MECP phthalate (ng/mL)"
"URDECPLC","MECP phthalate comment code"
"URXMBP","Mono-n-butyl phthalate (ng/mL)"
"URDMBPLC","Mono-n-butyl phthalate comment code"
"URXMC1","Mono-(3-carboxypropyl) phthalate (ng/mL)"
"URDMC1LC","Mono-(3-carboxypropyl) phthalate cmt"
"URXMEP","Mono-ethyl phthalate (ng/mL)"
"URDMEPLC","Mono-ethyl phthalate comment code"
"URXMHH","MEHP phthalate (ng/mL)"
"URDMHHLC","MEHP phthalate comment code"
"URXMHNC","MHNCH (ng/mL)"
"URDMCHLC","MHNCH comment code"
"URXMHP","Mono-(2-ethyl)-hexyl phthalate (ng/mL)"
"URDMHPLC","Mono-(2-ethyl)-hexyl phthalate cmt code"
"URXMIB","Mono-isobutyl phthalate (ng/mL)"
"URDMIBLC","Mono-isobutyl phthalate comment code"
"URXMNP","Mono-isononyl phthalate (ng/mL)"
"URDMNPLC","Mono-isononyl phthalate comment code"
"URXMOH","MEOH phthalate (ng/mL)"
"URDMOHLC","MEOH phthalate comment code"
"URXMZP","Mono-benzyl phthalate (ng/mL)"
"URDMZPLC","Mono-benzyl phthalate comment code"
